date,open,high,low,close,volume,oi
2025-01-20,501.98,518.19,494.15,496.17,3646104,0
2025-01-27,494.99,512.75,490.06,508.43,5144423,0
2025-02-03,506.98,519.98,502.65,514.53,3945175,0
2025-02-10,518.99,519.0,500.21,504.56,2981202,0
2025-02-17,505.98,509.73,498.53,502.52,3170285,0
2025-02-24,502.99,502.99,494.01,496.72,2819540,0
2025-03-03,499.98,502.99,491.6,498.4,3361133,0
2025-03-10,498.4,499.23,490.0,493.18,1727999,0
2025-03-17,496.99,518.7,491.5,518.1,4647474,0
2025-03-24,518.47,533.26,518.02,528.99,7309781,0
2025-04-01,531.99,532.0,520.07,528.98,3349336,0
2025-04-07,527.0,531.99,505.3,522.84,4505219,0
2025-04-15,528.01,557.0,526.39,555.79,5624152,0
2025-04-21,558.11,574.69,555.01,559.55,7822600,0
2025-04-28,562.99,573.0,556.41,564.11,3014532,0
2025-05-05,568.99,568.99,548.01,549.13,3454412,0
2025-05-12,556.0,569.2,556.0,567.6,4691895,0
2025-05-19,569.0,571.25,559.7,567.95,4331873,0
2025-05-26,570.0,572.9,564.87,572.1,3472345,0
2025-06-02,572.1,582.4,568.22,581.94,6884186,0
2025-06-09,585.5,585.88,567.68,569.14,4243139,0
2025-06-16,572.99,581.8,567.14,576.73,3955265,0
2025-06-23,575.98,590.9,572.0,590.61,3050911,0
2025-06-30,590.61,596.0,582.16,586.31,2503227,0
2025-07-07,582.01,590.99,582.0,583.92,1816534,0
2025-07-14,589.0,589.98,579.35,580.73,2013535,0
2025-07-21,583.0,590.0,579.51,581.98,2102066,0
2025-07-28,582.01,582.5,572.01,573.73,1851453,0
2025-08-04,575.99,575.99,566.9,567.59,1409104,0
2025-08-11,569.98,574.99,565.75,572.08,1389115,0
2025-08-18,579.99,579.99,569.62,570.05,1661744,0
2025-08-25,572.98,572.98,554.3,554.99,3220245,0
2025-09-01,559.99,564.0,553.96,559.17,2152973,0
2025-09-08,564.89,567.97,559.0,566.41,1984087,0
2025-09-15,566.41,578.0,564.91,573.47,2249689,0
2025-09-22,570.01,575.49,561.0,562.02,2065559,0
2025-09-29,562.03,580.29,560.0,573.3,2752257,0
2025-10-06,574.0,585.97,571.01,584.98,5450167,0
2025-10-13,584.21,596.48,580.9,594.97,3579227,0
2025-10-20,594.97,604.76,593.0,594.8,3875297,0
2025-10-27,605.0,605.0,594.58,597.39,3413076,0
2025-11-03,599.24,601.11,590.16,598.26,2298296,0
2025-11-10,599.98,604.29,594.55,603.29,2599733,0
2025-11-17,605.0,613.21,604.42,606.85,3117013,0
2025-11-24,609.98,618.69,605.0,616.37,2778343,0
2025-12-01,616.41,620.19,609.0,616.02,4129247,0
2025-12-08,614.59,624.7,606.57,613.14,3652594,0
2025-12-15,613.15,613.99,606.05,609.42,1557862,0
2025-12-22,613.66,613.96,608.0,608.29,1639485,0
2025-12-29,607.0,621.39,605.75,619.91,3981750,0
2026-01-05,623.98,623.98,610.52,611.83,3822053,0
2026-01-12,614.98,620.32,608.2,619.92,2064338,0
2026-01-19,619.99,620.0,611.0,611.99,1118522,0
