date,open,high,low,close,volume,oi
2025-01-20,169.99,170.75,160.64,161.05,2910590,0
2025-01-27,161.9,164.7,149.0,160.49,8036523,0
2025-02-03,161.0,166.0,157.0,161.24,3245028,0
2025-02-10,162.82,162.82,144.6,146.02,7266679,0
2025-02-17,150.4,150.95,142.36,147.29,7067335,0
2025-02-24,151.7,151.7,138.13,139.55,4349885,0
2025-03-03,142.8,147.99,135.21,146.91,6137071,0
2025-03-10,146.97,147.98,139.8,141.87,2644292,0
2025-03-17,144.8,153.6,140.71,152.98,5011995,0
2025-03-24,153.9,158.0,149.46,152.07,4763896,0
2025-04-01,151.97,156.9,147.5,148.71,4016225,0
2025-04-07,149.0,149.0,136.27,148.71,5989207,0
2025-04-15,153.15,157.7,148.0,155.16,2796770,0
2025-04-21,157.02,161.63,154.0,155.79,6840188,0
2025-04-28,157.89,158.78,152.07,154.47,2931913,0
2025-05-05,156.8,160.0,147.0,151.62,6990710,0
2025-05-12,155.99,164.99,154.39,164.54,5583577,0
2025-05-19,165.95,167.09,163.44,166.17,4669900,0
2025-05-26,166.9,170.4,166.18,168.99,4208339,0
2025-06-02,170.66,177.81,168.0,173.37,3972062,0
2025-06-09,169.03,180.45,169.03,172.96,5514438,0
2025-06-16,174.0,177.0,167.0,170.24,5199755,0
2025-06-23,165.98,180.4,165.98,177.4,5284303,0
2025-06-30,177.8,180.2,176.4,178.18,6657303,0
2025-07-07,173.72,183.18,173.72,177.23,3438319,0
2025-07-14,178.2,182.27,176.25,179.79,7380546,0
2025-07-21,182.36,182.6,174.31,175.08,3668235,0
2025-07-28,175.5,175.62,169.55,169.9,5099117,0
2025-08-04,171.8,173.15,166.05,166.9,4155287,0
2025-08-11,167.8,169.5,165.24,168.06,2731586,0
2025-08-18,169.76,173.5,168.11,171.38,4650643,0
2025-08-25,172.28,176.94,164.55,166.36,4651099,0
2025-09-01,166.3,173.35,166.22,169.94,4689315,0
2025-09-08,171.49,176.39,170.04,172.88,2846810,0
2025-09-15,173.49,177.49,172.0,176.03,7042972,0
2025-09-22,177.0,178.0,168.05,168.39,8940020,0
2025-09-29,170.5,172.38,166.45,171.56,4812891,0
2025-10-06,171.02,173.4,169.8,172.47,4466064,0
2025-10-13,172.32,174.0,168.05,171.52,6970413,0
2025-10-20,173.97,176.9,169.41,173.0,5994212,0
2025-10-27,178.19,178.19,173.01,174.1,3720779,0
2025-11-03,177.0,180.63,169.4,171.6,3591987,0
2025-11-10,167.31,175.89,167.31,172.17,5437010,0
2025-11-17,167.0,175.11,167.0,168.15,6202249,0
2025-11-24,170.14,170.49,166.63,168.72,6075843,0
2025-12-01,170.42,170.5,165.98,166.4,4753844,0
2025-12-08,168.5,168.5,159.9,165.28,13374834,0
2025-12-15,165.3,167.84,161.8,165.43,4851011,0
2025-12-22,166.6,168.25,165.51,167.07,5426013,0
2025-12-29,167.46,171.71,165.08,168.85,9084518,0
2026-01-05,169.7,172.4,163.22,163.47,5572362,0
2026-01-12,164.75,165.6,160.0,163.34,5211318,0
2026-01-19,164.24,164.24,156.5,157.19,4299210,0
